,,,Normalised retweets,Norm likes,weighted score,,SQUARED ERROR,,,,SUMS,,,,MSE,,
4.67E-02,3.90E-02,6.27E-02,,,,,,,,,,,,,,,
7.76E-03,6.40E-03,9.62E-03,,,,,,,,,,,,,,,
2.27E-02,1.88E-02,2.95E-02,,,,,,,,,,,,,,,
6.70E-02,5.61E-02,9.08E-02,,,,,,,,,,,,,,,
5.44E-02,4.54E-02,7.32E-02,,,,,,,,,,,,,,,
7.59E-02,6.37E-02,1.03E-01,,,,,,,,,,,,,,,
2.01E-02,1.66E-02,2.61E-02,,,,,,,,,,,,,,,
1.51E-02,1.25E-02,1.93E-02,,,,,,,,,,,,,,,
4.30E-02,3.58E-02,5.75E-02,,,,,,,,,,,,,,,
8.76E-03,7.22E-03,1.09E-02,,,,,,,,,,,,,,,
2.40E-02,1.99E-02,3.13E-02,,,,,,,,,,,,,,,
1.90E-02,1.58E-02,2.46E-02,,,,,,,,,,,,,,,
5.30E-02,4.43E-02,7.14E-02,,,,,,,,,,,,,,,
6.62E-02,5.54E-02,8.97E-02,,,,,,,,,,,,,,,
1.20E-02,9.91E-03,1.52E-02,,,,,,,,,,,,,,,
4.70E-02,3.92E-02,6.31E-02,,,,,,,,,,,,,,,
1.57E-02,1.30E-02,2.02E-02,,,,,,,,,,,,,,,
1.84E-02,1.53E-02,2.38E-02,,,,,,,,,,,,,,,
8.31E-02,6.98E-02,1.13E-01,,,,,,,,,,,,,,,
2.47E-02,2.05E-02,3.23E-02,,,,,,,,,,,,,,,
2.90E-02,2.41E-02,3.82E-02,,,,,,,,,,,,,,,
4.94E-02,4.12E-02,6.64E-02,,,,,,,,,,,,,,,
2.39E-02,1.98E-02,3.12E-02,,,,,,,,,,,,,,,
5.32E-02,4.44E-02,7.16E-02,,,,,,,,,,,,,,,
3.61E-02,3.00E-02,4.79E-02,,,,,,,,,,,,,,,
2.50E-02,2.07E-02,3.27E-02,,,,,,,,,,,,,,,
3.79E-02,3.15E-02,5.04E-02,,,,,,,,,,,,,,,
8.59E-03,7.08E-03,1.07E-02,,,,,,,,,,,,,,,
1.90E-02,1.57E-02,2.46E-02,,,,,,,,,,,,,,,
6.34E-02,5.31E-02,8.58E-02,,,,,,,,,,,,,,,
4.43E-02,3.70E-02,5.94E-02,,,,,,,,,,,,,,,
4.63E-02,3.86E-02,6.20E-02,,,,,,,,,,,,,,,
2.55E-02,2.11E-02,3.34E-02,,,,,,,,,,,,,,,
1.39E-02,1.15E-02,1.77E-02,,,,,,,,,,,,,,,
3.12E-02,2.59E-02,4.12E-02,,,,,,,,,,,,,,,
1.16E-02,9.61E-03,1.47E-02,,,,,,,,,,,,,,,
2.94E-02,2.44E-02,3.87E-02,,,,,,,,,,,,,,,
5.17E-02,4.32E-02,6.96E-02,,,,,,,,,,,,,,,
1.04E-02,8.55E-03,1.30E-02,,,,,,,,,,,,,,,
7.47E-03,6.15E-03,9.24E-03,,,,,,,,,,,,,,,
2.02E-02,1.67E-02,2.62E-02,,,,,,,,,,,,,,,
5.56E-02,4.64E-02,7.49E-02,,,,,,,,,,,,,,,
1.55E-02,1.28E-02,1.99E-02,,,,,,,,,,,,,,,
1.06E-02,8.74E-03,1.33E-02,,,,,,,,,,,,,,,
6.25E-02,5.23E-02,8.45E-02,,,,,,,,,,,,,,,
6.64E-02,5.56E-02,9.00E-02,,,,,,,,,,,,,,,
1.87E-02,1.54E-02,2.41E-02,,,,,,,,,,,,,,,
1.78E-02,1.47E-02,2.29E-02,,,,,,,,,,,,,,,
5.74E-02,4.80E-02,7.75E-02,,,,,,,,,,,,,,,
7.10E-02,5.95E-02,9.64E-02,,,,,,,,,,,,,,,
1.59E-03,1.30E-03,1.82E-03,,,,,,,,,,,,,,,
2.65E-02,2.20E-02,3.48E-02,,,,,,,,,,,,,,,
5.55E-02,4.64E-02,7.49E-02,,,,,,,,,,,,,,,
6.18E-02,5.17E-02,8.36E-02,,,,,,,,,,,,,,,
3.22E-02,2.67E-02,4.26E-02,,,,,,,,,,,,,,,
3.38E-02,2.81E-02,4.48E-02,,,,,,,,,,,,,,,
2.48E-03,2.04E-03,2.91E-03,,,,,,,,,,,,,,,
4.64E-02,3.87E-02,6.22E-02,,,,,,,,,,,,,,,
1.39E-02,1.15E-02,1.77E-02,,,,,,,,,,,,,,,
2.35E-02,1.95E-02,3.07E-02,,,,,,,,,,,,,,,
1.07E-02,8.79E-03,1.34E-02,,,,,,,,,,,,,,,
1.70E-02,1.40E-02,2.18E-02,,,,,,,,,,,,,,,
2.95E-02,2.45E-02,3.89E-02,,,,,,,,,,,,,,,
8.64E-02,7.27E-02,1.18E-01,,,,,,,,,,,,,,,
3.97E-02,3.30E-02,5.29E-02,,,,,,,,,,,,,,,
6.62E-02,5.54E-02,8.97E-02,,,,,,,,,,,,,,,
3.73E-02,3.11E-02,4.97E-02,,,,,,,,,,,,,,,
2.85E-02,2.36E-02,3.75E-02,,,,,,,,,,,,,,,
6.74E-02,5.64E-02,9.13E-02,,,,,,,,,,,,,,,
2.44E-02,2.02E-02,3.19E-02,,,,,,,,,,,,,,,
5.43E-02,4.54E-02,7.32E-02,,,,,,,,,,,,,,,
5.76E-02,4.81E-02,7.77E-02,,,,,,,,,,,,,,,
4.11E-02,3.42E-02,5.49E-02,,,,,,,,,,,,,,,
1.38E-02,1.14E-02,1.76E-02,,,,,,,,,,,,,,,
7.79E-03,6.42E-03,9.66E-03,,,,,,,,,,,,,,,
2.46E-02,2.04E-02,3.21E-02,,,,,,,,,,,,,,,
1.19E-02,9.82E-03,1.51E-02,,,,,,,,,,,,,,,
1.18E-02,9.75E-03,1.49E-02,,,,,,,,,,,,,,,
4.56E-02,3.80E-02,6.11E-02,,,,,,,,,,,,,,,
7.65E-02,6.42E-02,1.04E-01,,,,,,,,,,,,,,,
3.22E-02,2.68E-02,4.26E-02,,,,,,,,,,,,,,,
7.03E-02,5.89E-02,9.53E-02,,,,,,,,,,,,,,,
1.09E-01,9.18E-02,1.48E-01,,,,,,,,,,,,,,,
1.79E-02,1.48E-02,2.31E-02,,,,,,,,,,,,,,,
5.93E-04,4.85E-04,6.46E-04,,,,,,,,,,,,,,,
1.58E-02,1.31E-02,2.03E-02,,,,,,,,,,,,,,,
2.20E-03,1.81E-03,2.57E-03,,,,,,,,,,,,,,,
5.29E-02,4.42E-02,7.12E-02,,,,,,,,,,,,,,,
2.71E-02,2.25E-02,3.56E-02,,,,,,,,,,,,,,,
2.85E-02,2.36E-02,3.75E-02,,,,,,,,,,,,,,,
7.57E-02,6.35E-02,1.03E-01,,,,,,,,,,,,,,,
3.33E-03,2.74E-03,3.96E-03,,,,,,,,,,,,,,,
3.18E-02,2.64E-02,4.20E-02,,,,,,,,,,,,,,,
9.13E-03,7.53E-03,1.14E-02,,,,,,,,,,,,,,,
9.60E-03,7.92E-03,1.20E-02,,,,,,,,,,,,,,,
4.31E-02,3.59E-02,5.77E-02,,,,,,,,,,,,,,,
1.75E-02,1.45E-02,2.25E-02,,,,,,,,,,,,,,,
1.32E-03,1.08E-03,1.50E-03,,,,,,,,,,,,,,,
2.35E-02,1.95E-02,3.07E-02,,,,,,,,,,,,,,,
4.12E-02,3.43E-02,5.49E-02,,,,,,,,,,,,,,,
1.33E-02,1.10E-02,1.69E-02,,,,,,,,,,,,,,,
6.69E-02,5.60E-02,9.06E-02,,,,,,,,,,,,,,,
3.68E-02,3.06E-02,4.89E-02,,,,,,,,,,,,,,,
3.07E-02,2.55E-02,4.05E-02,,,,,,,,,,,,,,,
1.95E-02,1.61E-02,2.53E-02,,,,,,,,,,,,,,,
2.04E-02,1.69E-02,2.64E-02,,,,,,,,,,,,,,,
4.50E-02,3.75E-02,6.03E-02,,,,,,,,,,,,,,,
3.09E-02,2.56E-02,4.08E-02,,,,,,,,,,,,,,,
4.19E-02,3.49E-02,5.59E-02,,,,,,,,,,,,,,,
2.35E-02,1.95E-02,3.07E-02,,,,,,,,,,,,,,,
2.84E-02,2.36E-02,3.74E-02,,,,,,,,,,,,,,,
1.80E-02,1.49E-02,2.32E-02,,,,,,,,,,,,,,,
3.80E-02,3.16E-02,5.06E-02,,,,,,,,,,,,,,,
3.70E-02,3.08E-02,4.92E-02,,,,,,,,,,,,,,,
1.23E-02,1.02E-02,1.57E-02,,,,,,,,,,,,,,,
1.03E-01,8.67E-02,1.40E-01,,,,,,,,,,,,,,,
8.40E-02,7.06E-02,1.14E-01,,,,,,,,,,,,,,,
1.84E-02,1.52E-02,2.37E-02,,,,,,,,,,,,,,,
4.28E-02,3.57E-02,5.72E-02,,,,,,,,,,,,,,,
3.59E-02,2.99E-02,4.77E-02,,,,,,,,,,,,,,,
8.52E-03,7.02E-03,1.06E-02,,,,,,,,,,,,,,,
1.01E-01,8.51E-02,1.38E-01,,,,,,,,,,,,,,,
2.35E-02,1.95E-02,3.07E-02,,,,,,,,,,,,,,,
6.80E-02,5.70E-02,9.22E-02,,,,,,,,,,,,,,,
3.92E-02,3.26E-02,5.22E-02,,,,,,,,,,,,,,,
6.68E-02,5.60E-02,9.05E-02,,,,,,,,,,,,,,,
5.47E-02,4.57E-02,7.37E-02,,,,,,,,,,,,,,,
1.72E-02,1.42E-02,2.22E-02,,,,,,,,,,,,,,,
7.28E-02,6.10E-02,9.88E-02,,,,,,,,,,,,,,,
5.25E-02,4.38E-02,7.06E-02,,,,,,,,,,,,,,,
1.51E-02,1.25E-02,1.94E-02,,,,,,,,,,,,,,,
5.42E-02,4.53E-02,7.31E-02,,,,,,,,,,,,,,,
1.84E-02,1.52E-02,2.38E-02,,,,,,,,,,,,,,,
1.04E-02,8.61E-03,1.31E-02,,,,,,,,,,,,,,,
8.80E-03,7.26E-03,1.10E-02,,,,,,,,,,,,,,,
6.78E-02,5.68E-02,9.19E-02,,,,,,,,,,,,,,,
2.05E-02,1.70E-02,2.66E-02,,,,,,,,,,,,,,,
2.41E-02,1.99E-02,3.14E-02,,,,,,,,,,,,,,,
6.05E-03,4.98E-03,7.41E-03,,,,,,,,,,,,,,,
8.41E-02,7.07E-02,1.14E-01,,,,,,,,,,,,,,,
7.44E-02,6.24E-02,1.01E-01,,,,,,,,,,,,,,,
3.33E-02,2.77E-02,4.41E-02,,,,,,,,,,,,,,,
9.84E-02,8.30E-02,1.34E-01,,,,,,,,,,,,,,,
2.86E-02,2.37E-02,3.77E-02,,,,,,,,,,,,,,,
1.22E-02,1.00E-02,1.54E-02,,,,,,,,,,,,,,,
2.00E-02,1.66E-02,2.60E-02,,,,,,,,,,,,,,,
1.30E-02,1.07E-02,1.65E-02,,,,,,,,,,,,,,,
4.51E-02,3.76E-02,6.04E-02,,,,,,,,,,,,,,,
9.37E-03,7.73E-03,1.17E-02,,,,,,,,,,,,,,,
8.77E-02,7.38E-02,1.20E-01,,,,,,,,,,,,,,,
4.73E-02,3.95E-02,6.35E-02,,,,,,,,,,,,,,,
4.34E-02,3.15E-02,5.82E-02,,,,,,,,,,,,,,,
6.87E-02,5.75E-02,9.31E-02,,,,,,,,,,,,,,,
2.35E-02,1.95E-02,3.07E-02,,,,,,,,,,,,,,,
4.30E-02,3.59E-02,5.76E-02,,,,,,,,,,,,,,,
5.11E-02,4.26E-02,6.87E-02,,,,,,,,,,,,,,,
5.23E-02,4.37E-02,7.05E-02,,,,,,,,,,,,,,,
6.61E-02,5.54E-02,8.96E-02,,,,,,,,,,,,,,,
2.78E-02,2.30E-02,3.65E-02,,,,,,,,,,,,,,,
1.84E-02,1.52E-02,2.38E-02,,,,,,,,,,,,,,,
8.08E-02,6.79E-02,1.10E-01,,,,,,,,,,,,,,,
6.97E-02,5.84E-02,9.46E-02,,,,,,,,,,,,,,,
2.80E-02,2.33E-02,3.69E-02,,,,,,,,,,,,,,,
1.47E-03,1.21E-03,1.68E-03,,,,,,,,,,,,,,,
3.82E-02,3.18E-02,5.08E-02,,,,,,,,,,,,,,,
5.99E-02,5.01E-02,8.10E-02,,,,,,,,,,,,,,,
4.07E-02,3.39E-02,5.44E-02,,,,,,,,,,,,,,,
1.15E-02,9.49E-03,1.45E-02,,,,,,,,,,,,,,,
5.09E-02,4.24E-02,6.84E-02,,,,,,,,,,,,,,,
4.99E-02,4.16E-02,6.70E-02,,,,,,,,,,,,,,,
7.30E-03,6.01E-03,9.02E-03,,,,,,,,,,,,,,,
2.40E-02,1.77E-02,3.09E-02,,,,,,,,,,,,,,,
3.70E-02,3.08E-02,4.92E-02,,,,,,,,,,,,,,,
6.20E-02,5.19E-02,8.39E-02,,,,,,,,,,,,,,,
1.22E-01,1.03E-01,1.67E-01,,,,,,,,,,,,,,,
5.39E-03,4.44E-03,6.56E-03,,,,,,,,,,,,,,,
2.53E-03,2.08E-03,2.97E-03,,,,,,,,,,,,,,,
5.29E-02,4.42E-02,7.13E-02,,,,,,,,,,,,,,,
1.72E-03,1.41E-03,1.98E-03,,,,,,,,,,,,,,,
3.45E-02,2.87E-02,4.58E-02,,,,,,,,,,,,,,,
4.35E-02,3.63E-02,5.82E-02,,,,,,,,,,,,,,,
2.92E-03,3.00E-03,4.02E-03,,,,,,,,,,,,,,,
5.60E-02,4.68E-02,7.56E-02,,,,,,,,,,,,,,,
2.64E-02,2.19E-02,3.46E-02,,,,,,,,,,,,,,,
1.34E-02,1.11E-02,1.71E-02,,,,,,,,,,,,,,,
5.58E-03,1.05E-02,1.20E-02,,,,,,,,,,,,,,,
3.11E-02,2.58E-02,4.11E-02,,,,,,,,,,,,,,,
2.53E-02,2.10E-02,3.31E-02,,,,,,,,,,,,,,,
5.82E-02,4.87E-02,7.86E-02,,,,,,,,,,,,,,,
1.59E-02,1.32E-02,2.04E-02,,,,,,,,,,,,,,,
3.92E-02,3.26E-02,5.22E-02,,,,,,,,,,,,,,,
5.53E-02,4.62E-02,7.46E-02,,,,,,,,,,,,,,,
4.84E-02,4.03E-02,6.49E-02,,,,,,,,,,,,,,,
4.05E-02,3.37E-02,5.41E-02,,,,,,,,,,,,,,,
6.17E-03,5.08E-03,7.56E-03,,,,,,,,,,,,,,,
2.00E-02,1.66E-02,2.59E-02,,,,,,,,,,,,,,,
2.49E-02,2.06E-02,3.26E-02,,,,,,,,,,,,,,,
1.24E-02,1.03E-02,1.58E-02,,,,,,,,,,,,,,,
1.93E-02,1.60E-02,2.50E-02,,,,,,,,,,,,,,,
5.16E-02,4.31E-02,6.95E-02,,,,,,,,,,,,,,,
2.07E-03,1.70E-03,2.40E-03,,,,,,,,,,,,,,,
1.79E-02,1.48E-02,2.30E-02,,,,,,,,,,,,,,,
2.04E-02,1.69E-02,2.65E-02,,,,,,,,,,,,,,,
1.56E-02,1.29E-02,2.00E-02,,,,,,,,,,,,,,,
3.99E-02,3.32E-02,5.32E-02,,,,,,,,,,,,,,,
1.16E-02,9.59E-03,1.47E-02,,,,,,,,,,,,,,,
6.18E-02,5.17E-02,8.36E-02,,,,,,,,,,,,,,,
4.73E-02,3.94E-02,6.34E-02,,,,,,,,,,,,,,,
7.24E-02,6.07E-02,9.83E-02,,,,,,,,,,,,,,,
5.16E-02,4.31E-02,6.95E-02,,,,,,,,,,,,,,,
1.38E-02,1.14E-02,1.76E-02,,,,,,,,,,,,,,,
2.77E-02,2.30E-02,3.64E-02,,,,,,,,,,,,,,,
1.71E-02,1.41E-02,2.20E-02,,,,,,,,,,,,,,,
5.38E-02,4.49E-02,7.24E-02,,,,,,,,,,,,,,,
2.11E-02,1.75E-02,2.75E-02,,,,,,,,,,,,,,,
9.87E-03,8.14E-03,1.24E-02,,,,,,,,,,,,,,,
4.13E-02,3.44E-02,5.51E-02,,,,,,,,,,,,,,,
2.61E-02,2.17E-02,3.43E-02,,,,,,,,,,,,,,,
5.09E-02,4.24E-02,6.84E-02,,,,,,,,,,,,,,,
7.58E-02,6.36E-02,1.03E-01,,,,,,,,,,,,,,,
1.39E-02,1.15E-02,1.77E-02,,,,,,,,,,,,,,,
3.03E-02,2.51E-02,3.99E-02,,,,,,,,,,,,,,,
2.66E-02,2.21E-02,3.49E-02,,,,,,,,,,,,,,,
1.34E-02,1.11E-02,1.71E-02,,,,,,,,,,,,,,,
6.46E-02,5.41E-02,8.74E-02,,,,,,,,,,,,,,,
8.52E-03,7.02E-03,1.06E-02,,,,,,,,,,,,,,,
7.88E-02,6.61E-02,1.07E-01,,,,,,,,,,,,,,,
2.68E-02,2.23E-02,3.52E-02,,,,,,,,,,,,,,,
7.83E-03,6.45E-03,9.71E-03,,,,,,,,,,,,,,,
1.99E-02,1.65E-02,2.58E-02,,,,,,,,,,,,,,,
3.48E-02,2.89E-02,4.61E-02,,,,,,,,,,,,,,,
4.80E-02,4.00E-02,6.44E-02,,,,,,,,,,,,,,,
1.75E-02,2.09E-02,2.90E-02,,,,,,,,,,,,,,,
1.32E-01,1.12E-01,1.80E-01,,,,,,,,,,,,,,,
4.09E-02,3.41E-02,5.46E-02,,,,,,,,,,,,,,,
3.83E-02,3.19E-02,5.11E-02,,,,,,,,,,,,,,,
5.11E-02,4.27E-02,6.88E-02,,,,,,,,,,,,,,,
3.40E-03,2.79E-03,4.04E-03,,,,,,,,,,,,,,,
2.03E-02,1.68E-02,2.63E-02,,,,,,,,,,,,,,,
6.83E-02,5.72E-02,9.25E-02,,,,,,,,,,,,,,,
3.82E-02,3.18E-02,5.08E-02,,,,,,,,,,,,,,,
2.81E-02,2.33E-02,3.70E-02,,,,,,,,,,,,,,,
5.19E-02,4.33E-02,6.99E-02,,,,,,,,,,,,,,,
2.24E-02,1.86E-02,2.92E-02,,,,,,,,,,,,,,,
7.57E-02,6.35E-02,1.03E-01,,,,,,,,,,,,,,,
6.75E-02,5.66E-02,9.16E-02,,,,,,,,,,,,,,,
2.35E-02,1.95E-02,3.07E-02,,,,,,,,,,,,,,,
4.13E-02,3.44E-02,5.51E-02,,,,,,,,,,,,,,,
3.30E-02,2.75E-02,4.38E-02,,,,,,,,,,,,,,,
3.18E-02,2.64E-02,4.20E-02,,,,,,,,,,,,,,,
3.95E-02,3.28E-02,5.26E-02,,,,,,,,,,,,,,,
1.58E-02,1.31E-02,2.02E-02,,,,,,,,,,,,,,,
2.08E-02,1.72E-02,2.70E-02,,,,,,,,,,,,,,,
6.06E-02,5.07E-02,8.19E-02,,,,,,,,,,,,,,,
2.89E-02,2.40E-02,3.81E-02,,,,,,,,,,,,,,,
7.44E-03,6.13E-03,9.21E-03,,,,,,,,,,,,,,,
3.73E-02,3.11E-02,4.97E-02,,,,,,,,,,,,,,,
2.72E-02,2.25E-02,3.57E-02,,,,,,,,,,,,,,,
2.88E-02,2.39E-02,3.79E-02,,,,,,,,,,,,,,,
3.06E-02,2.54E-02,4.04E-02,,,,,,,,,,,,,,,
3.60E-02,3.00E-02,4.79E-02,,,,,,,,,,,,,,,
9.89E-02,8.34E-02,1.35E-01,,,,,,,,,,,,,,,
3.59E-02,2.98E-02,4.77E-02,,,,,,,,,,,,,,,
2.17E-02,1.80E-02,2.83E-02,,,,,,,,,,,,,,,
1.25E-02,1.03E-02,1.58E-02,,,,,,,,,,,,,,,
1.00E-02,8.28E-03,1.26E-02,,,,,,,,,,,,,,,
1.20E-02,9.87E-03,1.51E-02,,,,,,,,,,,,,,,
4.85E-03,3.99E-03,5.87E-03,,,,,,,,,,,,,,,
8.12E-02,6.82E-02,1.10E-01,,,,,,,,,,,,,,,
2.95E-02,2.45E-02,3.88E-02,,,,,,,,,,,,,,,
6.18E-02,5.17E-02,8.36E-02,,,,,,,,,,,,,,,
3.07E-02,2.55E-02,4.05E-02,,,,,,,,,,,,,,,
3.64E-02,3.03E-02,4.84E-02,,,,,,,,,,,,,,,
1.73E-02,1.43E-02,2.23E-02,,,,,,,,,,,,,,,
8.28E-03,6.83E-03,1.03E-02,,,,,,,,,,,,,,,
2.22E-02,1.84E-02,2.88E-02,,,,,,,,,,,,,,,
8.17E-02,6.87E-02,1.11E-01,,,,,,,,,,,,,,,
4.46E-02,3.72E-02,5.98E-02,,,,,,,,,,,,,,,
2.08E-02,1.72E-02,2.70E-02,,,,,,,,,,,,,,,
3.69E-02,3.07E-02,4.91E-02,,,,,,,,,,,,,,,
2.69E-02,2.23E-02,3.54E-02,,,,,,,,,,,,,,,
7.03E-02,5.89E-02,9.54E-02,,,,,,,,,,,,,,,
6.27E-02,5.25E-02,8.49E-02,,,,,,,,,,,,,,,
2.86E-02,2.37E-02,3.77E-02,,,,,,,,,,,,,,,
2.72E-02,2.26E-02,3.58E-02,,,,,,,,,,,,,,,
9.84E-02,8.30E-02,1.34E-01,,,,,,,,,,,,,,,
1.05E-03,8.56E-04,1.17E-03,,,,,,,,,,,,,,,
1.16E-01,9.81E-02,1.58E-01,,,,,,,,,,,,,,,
8.79E-03,7.25E-03,1.10E-02,,,,,,,,,,,,,,,
2.89E-02,2.40E-02,3.81E-02,,,,,,,,,,,,,,,
4.88E-02,4.07E-02,6.55E-02,,,,,,,,,,,,,,,
3.56E-02,2.96E-02,4.73E-02,,,,,,,,,,,,,,,
7.01E-02,5.88E-02,9.51E-02,,,,,,,,,,,,,,,
2.53E-02,2.10E-02,3.31E-02,,,,,,,,,,,,,,,
3.56E-02,2.96E-02,4.73E-02,,,,,,,,,,,,,,,
3.23E-02,2.68E-02,4.27E-02,,,,,,,,,,,,,,,
6.34E-02,5.30E-02,8.58E-02,,,,,,,,,,,,,,,
6.00E-02,5.02E-02,8.11E-02,,,,,,,,,,,,,,,
1.14E-02,9.37E-03,1.43E-02,,,,,,,,,,,,,,,
6.53E-02,5.47E-02,8.85E-02,,,,,,,,,,,,,,,
1.81E-02,1.50E-02,2.34E-02,,,,,,,,,,,,,,,
3.82E-02,3.18E-02,5.09E-02,,,,,,,,,,,,,,,
3.37E-02,2.80E-02,4.47E-02,,,,,,,,,,,,,,,
3.82E-02,3.18E-02,5.08E-02,,,,,,,,,,,,,,,
2.25E-02,1.86E-02,2.93E-02,,,,,,,,,,,,,,,
5.68E-02,4.75E-02,7.67E-02,,,,,,,,,,,,,,,
5.20E-02,4.34E-02,7.00E-02,,,,,,,,,,,,,,,
1.33E-02,1.10E-02,1.69E-02,,,,,,,,,,,,,,,
2.31E-02,1.91E-02,3.01E-02,,,,,,,,,,,,,,,
8.39E-02,7.06E-02,1.14E-01,,,,,,,,,,,,,,,
3.38E-02,2.81E-02,4.48E-02,,,,,,,,,,,,,,,
2.33E-02,1.93E-02,3.04E-02,,,,,,,,,,,,,,,
2.93E-02,2.44E-02,3.87E-02,,,,,,,,,,,,,,,
3.26E-02,2.71E-02,4.31E-02,,,,,,,,,,,,,,,
4.67E-02,3.89E-02,6.26E-02,,,,,,,,,,,,,,,
4.98E-03,4.10E-03,6.04E-03,,,,,,,,,,,,,,,
1.37E-02,2.10E-02,2.66E-02,,,,,,,,,,,,,,,
1.71E-02,1.41E-02,2.20E-02,,,,,,,,,,,,,,,
5.76E-03,4.74E-03,7.04E-03,,,,,,,,,,,,,,,
5.03E-02,4.20E-02,6.76E-02,,,,,,,,,,,,,,,
4.98E-03,4.10E-03,6.04E-03,,,,,,,,,,,,,,,
1.71E-02,1.42E-02,2.21E-02,,,,,,,,,,,,,,,
4.90E-02,4.09E-02,6.59E-02,,,,,,,,,,,,,,,
9.08E-03,7.49E-03,1.13E-02,,,,,,,,,,,,,,,
8.20E-03,6.76E-03,1.02E-02,,,,,,,,,,,,,,,
4.80E-02,4.01E-02,6.45E-02,,,,,,,,,,,,,,,
2.84E-02,2.36E-02,3.74E-02,,,,,,,,,,,,,,,
1.69E-02,1.40E-02,2.17E-02,,,,,,,,,,,,,,,
2.65E-02,2.20E-02,3.48E-02,,,,,,,,,,,,,,,
6.25E-02,5.23E-02,8.46E-02,,,,,,,,,,,,,,,
7.53E-02,6.32E-02,1.02E-01,,,,,,,,,,,,,,,
9.65E-03,7.96E-03,1.21E-02,,,,,,,,,,,,,,,
1.02E-01,8.61E-02,1.39E-01,,,,,,,,,,,,,,,
2.19E-02,1.82E-02,2.86E-02,,,,,,,,,,,,,,,
2.33E-02,1.93E-02,3.04E-02,,,,,,,,,,,,,,,
2.05E-02,1.70E-02,2.67E-02,,,,,,,,,,,,,,,
4.98E-02,4.16E-02,6.69E-02,,,,,,,,,,,,,,,
3.81E-02,3.17E-02,5.07E-02,,,,,,,,,,,,,,,
4.36E-02,3.64E-02,5.84E-02,,,,,,,,,,,,,,,
1.33E-02,1.10E-02,1.69E-02,,,,,,,,,,,,,,,
4.64E-02,3.87E-02,6.22E-02,,,,,,,,,,,,,,,
2.58E-02,2.14E-02,3.38E-02,,,,,,,,,,,,,,,
1.69E-03,1.39E-03,1.94E-03,,,,,,,,,,,,,,,
1.77E-02,1.47E-02,2.29E-02,,,,,,,,,,,,,,,
2.23E-02,8.02E-02,7.89E-02,,,,,,,,,,,,,,,
1.03E-02,8.47E-03,1.29E-02,,,,,,,,,,,,,,,
1.04E-02,8.59E-03,1.31E-02,,,,,,,,,,,,,,,
5.63E-03,4.64E-03,6.87E-03,,,,,,,,,,,,,,,
2.35E-02,1.95E-02,3.07E-02,,,,,,,,,,,,,,,
2.91E-02,2.42E-02,3.84E-02,,,,,,,,,,,,,,,
5.21E-02,4.35E-02,7.01E-02,,,,,,,,,,,,,,,
4.06E-02,3.38E-02,5.42E-02,,,,,,,,,,,,,,,
1.92E-02,1.59E-02,2.49E-02,,,,,,,,,,,,,,,
5.38E-02,4.49E-02,7.25E-02,,,,,,,,,,,,,,,
3.64E-02,3.03E-02,4.84E-02,,,,,,,,,,,,,,,
3.64E-02,3.03E-02,4.84E-02,,,,,,,,,,,,,,,
3.19E-02,2.65E-02,4.22E-02,,,,,,,,,,,,,,,
2.37E-02,1.96E-02,3.09E-02,,,,,,,,,,,,,,,
3.84E-02,3.19E-02,5.11E-02,,,,,,,,,,,,,,,
1.57E-02,1.30E-02,2.02E-02,,,,,,,,,,,,,,,
2.54E-02,2.11E-02,3.33E-02,,,,,,,,,,,,,,,
6.31E-02,5.28E-02,8.54E-02,,,,,,,,,,,,,,,
1.85E-02,1.54E-02,2.40E-02,,,,,,,,,,,,,,,
5.31E-02,4.43E-02,7.15E-02,,,,,,,,,,,,,,,
5.26E-02,4.40E-02,7.09E-02,,,,,,,,,,,,,,,
2.11E-02,1.74E-02,2.74E-02,,,,,,,,,,,,,,,
5.57E-02,4.66E-02,7.52E-02,,,,,,,,,,,,,,,
3.65E-02,3.03E-02,4.85E-02,,,,,,,,,,,,,,,
5.02E-02,4.19E-02,6.75E-02,,,,,,,,,,,,,,,
3.15E-02,2.61E-02,4.16E-02,,,,,,,,,,,,,,,
1.97E-02,1.63E-02,2.56E-02,,,,,,,,,,,,,,,
5.17E-02,4.31E-02,6.95E-02,,,,,,,,,,,,,,,
3.81E-02,3.17E-02,5.07E-02,,,,,,,,,,,,,,,
1.24E-02,1.03E-02,1.58E-02,,,,,,,,,,,,,,,
5.97E-02,4.99E-02,8.06E-02,,,,,,,,,,,,,,,
3.73E-02,3.10E-02,4.96E-02,,,,,,,,,,,,,,,
2.93E-02,2.43E-02,3.86E-02,,,,,,,,,,,,,,,
3.28E-02,2.73E-02,4.34E-02,,,,,,,,,,,,,,,
1.90E-02,1.57E-02,2.45E-02,,,,,,,,,,,,,,,
3.20E-02,2.66E-02,4.23E-02,,,,,,,,,,,,,,,
3.71E-02,3.09E-02,4.93E-02,,,,,,,,,,,,,,,
5.06E-02,4.23E-02,6.81E-02,,,,,,,,,,,,,,,
2.55E-02,2.11E-02,3.34E-02,,,,,,,,,,,,,,,
2.97E-02,2.46E-02,3.91E-02,,,,,,,,,,,,,,,
1.34E-02,1.10E-02,2.63E-02,,,,,,,,,,,,,,,
7.19E-02,6.03E-02,9.76E-02,,,,,,,,,,,,,,,
3.61E-02,3.00E-02,4.79E-02,,,,,,,,,,,,,,,
